"","1","2","3","4","5","6","7","8","9","10","11","12"
"2",1.26063187987315,1.50858406767493,1.65916648111114,1.40579681190108,1.38,1.38433126779093,1.74693430454394,1.48116365452527,1.64611376960875,1.77276196096924,2.0401495568,1.53572522304369
"4",1.1268,1.14868236958859,1.3168,1.14356050104762,1.2184,1.89073519666445,2.09005927687754,1.9484132784,1.67875532843559,1.4200202212766,1.42,1.2948
"5",1.1808,1.2536,1.38,1.3,1.3052,1.38,1.51702214595175,1.4052,1.54,1.42,1.4032,1.3
"6",1.1,0.9839442,1.234,0.9792,1.336,1.39102765274977,1.71449867319726,1.5631045653905,1.72905054938982,1.42,1.40119662081185,1.3
"11",1.302,1.34,1.38,1.38,1.38,1.38,1.5920077089229,1.4004,1.54,1.4848,1.382,1.35543738055084
"12",1.1644,1.2194,1.2332,1.3,1.3,1.30021998571429,1.40218842118364,1.46,1.4812,1.3484,1.652,1.4572
"13",1.1,0.9391,1.0204,0.9165,1.22328966896552,1.35561251347817,1.68985278200782,1.57866223736879,1.8936,1.57,1.44532010261352,1.2204
"15",1.1036,1.02,1.0236,1.0184,1.3,1.2992,1.5714,1.4984,1.5685,1.3854112570709,1.32121990499195,1.2828
"16",1.139,1.3116,1.2884,1.3716,1.46,1.69,1.69,1.4938,2.004,1.448,1.34818132435796,1.268
"18",1.15,1.0844,1.024,0.98,1.3408,1.4612,1.68435957887024,1.4608,2.05,1.4424,1.31059535150667,1.30609828439016
"19",1.94346580930745,1.3832,1.3764,1.3496,1.386,1.5403,1.54,1.536,1.5272,1.46,1.42,1.4348
"20",1.1436,1.4612,1.1271336,0.9808,1.4724,1.5,1.5911,1.5,2.0224,1.4212,1.3,1.2176
"21",1.2576,1.4504,1.34,1.378,1.46,1.46,1.5537,1.46,1.85196660569705,1.42,1.33334129713092,1.39904669172969
"22",1.1656,1.18,1.1568,1.158,1.3404,1.4584,1.68757592359037,1.46,2.0372,1.49855908405316,1.30220844391361,1.3425086235933
"23",1.14004270504558,1.14058278412411,1.14,1.1136,1.1427359824,1.42,1.43410691055052,1.264,2.0368,1.5108,1.30052557959184,1.42
"24",1.46958902991423,1.51698409786849,1.36918398757585,1.57252148761774,1.572228882,1.57431854661496,1.5774708537876,1.55922046386563,1.68120562583102,1.42,1.3412,1.42
"25",1.14,1.1301,1.02,0.9513,1.3216,1.4728,1.70598392017616,1.458,2.05,1.52762276543429,1.30063845805286,1.36254143528453
"26",1.4068,1.458,1.38,1.38,1.38,1.5,1.5,1.56080752727273,1.9928,1.5,1.5024,1.54
"28",1.2148,1.14,1.1396,1.14,1.2592,1.3,1.40097526666666,1.3,1.3432,1.40541855242424,1.2068,1.2168
"29",1.18,0.9338,0.9036,0.8836,0.98759257047619,1.1204,1.4094986,1.266,1.4588,1.46,1.10985010833333,1.18
"30",1.18,1.02220599077667,0.9508,0.9389,1.12303351190476,1.18035085,1.4352632,1.2372,1.4656,1.4592,1.22,1.22
"32",1.18,0.94,0.942,0.94,0.9466728,1.0844,1.25065229701706,1.19383201421249,1.4836,1.36313180716452,1.14871398190476,1.18
"33",1.18,1.1378,1.1488,1.162,1.2196,1.315,1.4624,1.3196,1.66134421026147,1.4708,1.639,1.4712
"34",1.162,0.975604519230769,1.124,1.0496,1.2692,1.274,1.6461,1.3869144,1.5463,1.4504,1.432,1.41148111304348
"35",1.1252,1.1184,1.2536,1.3024,1.38,1.33747054444444,1.42968753838384,1.5491,1.5403,1.34,1.26,1.18
"36",1.18,1.1516,1.1576,1.14,1.1784,1.22,1.30158865760748,1.2224,1.46,1.26187876588336,1.26,1.26
"38",1.106,1.0564,0.978,0.9391,1.2792,1.3008,1.5476,1.3832,1.5701,1.46,1.26,1.18
"39",1.134,1.1293,1.1,1.1,1.18624697777778,1.346,1.35436290095238,1.3176,1.4704,1.42954681904762,1.26,1.18
"40",1.1788,1.0736,1.06,1.0096,1.2648,1.2796,1.5392,1.3272,1.6076,1.38361077369963,1.13052626301587,1.18
"7",1.23352209639264,1.37872170909091,1.41685294974509,1.38,1.38,1.38,1.70101044249722,1.43984904,1.57152955278694,1.66053901531688,1.75064847895719,1.39394441901122
"8",1.1,1.03409566666667,1.2230724,1.0626,1.3085716,1.39388854877991,1.72179721765794,1.56188126571493,1.73192993465058,1.42,1.42210864419381,1.3
"9",1.12162885333333,1.2601,1.278,1.2776,1.39643199523809,1.494,1.682,1.5084,1.87537540855602,1.48350158572363,1.3948,1.2736
"10",1.14,1.23856763678161,1.2996,1.2296,1.26139202483223,1.327982926331,1.46263812844731,1.38153153662338,1.539216,1.42,1.42315503955277,1.3
"37",1.1308,1.1233,1.1,1.1,1.2411,1.34,1.39602036252858,1.34,1.4984,1.38496164808081,1.26,1.18
